date;time;status;reference;description;assetType;type;isin;shares;price;amount;fee;tax;currency
2026-04-17;19:16:10;Executed;"SCALkQeoTSrzcJv";"Circle Internet Group Long 86,17 $ Turbo Open End HSBC";Security;Buy;DE000HM4DP58;100;1,74;-174,00;0,99;0,00;EUR
2026-04-17;16:18:03;Executed;"SCALXhTZGh4PTaC";"Petrobras - Petroleo Brasileiro SA Vz.";Security;Sell;BRPETRACNPR6;407,082662;7,36;2.996,12839232;0,00;138,15;EUR
2026-04-16;16:26:31;Executed;"SCALXVY59q65vCR";"ASML Holding Long 974,82 € Turbo Open End HSBC";Security;Buy;DE000HM0ZQF8;70;2,39;-167,30;0,99;0,00;EUR
2026-04-16;16:25:24;Executed;"SCALf4iLgfpkvmb";"Lumentum Holdings Long 735,41 $ Turbo Open End HSBC";Security;Sell;DE000HM43KE6;100;1,50;150,00;0,99;6,17;EUR
2026-04-16;08:00:09;Executed;"SCALSvhPSaDNfFq";"Strategy Long 116,68 $ Turbo Open End HSBC";Security;Buy;DE000HM43BD7;70;2,51;-175,70;0,99;0,00;EUR
2026-04-16;02:00:00;Executed;"533271_peaa4fChmSyeXtJHDJp71N";"L&G Global Quality Dividends (Dist)";Cash;Distribution;IE0005AJA0P1;;;5,04;0,00;1,23;EUR
2026-04-15;18:44:47;Executed;"SCALhq4S5nx6ASw";"Strategy Long 129,73 $ Turbo Open End HSBC";Security;Sell;DE000HM4H4U3;150;0,95;142,50;0,99;4,07;EUR
2026-04-15;14:17:24;Executed;"SCAL3hcvBeANSev";"Lumentum Holdings Long 735,26 $ Turbo Open End HSBC";Security;Buy;DE000HM43KE6;100;1,26;-126,00;0,99;0,00;EUR
2026-04-15;14:15:22;Executed;"SCALv7Rf74kPgmK";"Coinbase Global A Long 138,82 Turbo Open End BNP";Security;Sell;DE000BY2MR97;50;4,06;203,00;0,99;15,12;EUR
2026-04-15;02:00:00;Executed;"MHEJABFIHVW5ZBTC";"Entgelt PRIME+ Broker";Cash;Fee;;;;-4,99;0,00;;EUR
2026-04-14;20:50:57;Executed;"SCALiXVJqzCrb49";"Strategy Long 129,70 $ Turbo Open End HSBC";Security;Buy;DE000HM4H4U3;150;0,84;-126,00;0,99;0,00;EUR
2026-04-14;20:12:12;Executed;"SCALBxAusEKHYc2";"Circle Internet Group Short 124,81 $ Turbo Open End HSBC";Security;Sell;DE000HM3Y8Z3;100;1,85;185,00;0,99;7,57;EUR
2026-04-14;16:39:57;Executed;"SCALa88oh4zRrXC";"Circle Internet Group Short 124,81 $ Turbo Open End HSBC";Security;Buy;DE000HM3Y8Z3;100;1,56;-156,00;0,99;0,00;EUR
2026-04-14;12:49:41;Executed;"SCAL6Q3LsFg7uEt";"Rheinmetall Long Factor BNP";Security;Sell;DE000PC5RHM1;40;3,34;133,60;0,99;3,36;EUR
